disno,year,disaster_type_gdis,country,iso3,prefecture,prefecture_norm,region,island,capital,location_str,adm1,adm2,latitude,longitude,disno_core,disno_raw,disaster_type_emdat,disaster_subtype,start_year,end_year,decade,deaths,injured,affected,homeless,total_affected,human_impact_best,damage_adj_usd,damage_imputed_usd,damage_imputed_flag,damage_final_usd,damage_final_log10,location_str_emdat
2003-0354,2003,earthquake,Japan,JPN,Miyagi,Miyagi,Tohoku,Honshu,Sendai-shi,Ishinomaki,Miyagi,Ishinomaki,38.48336702,141.376057,2003-0354,2003-0354-JPN,Earthquake,Ground movement,2003.0,2003.0,2000.0,,569.0,17403.0,219.0,18191.0,18191.0,700844000.0,700844000.0,False,700844000.0,8.845621359651673,"Sendaisi_Aobaku, Sendaisi_Daisiroku, Sendaisi_Izumiku, Sendaisi_Miyaginoku, Sendaisi_Wakabayasiku, Isinomakisi, Hurukawasi, Kasimadaimati, Nangootyoon, Narusetyoo, Yamototyoo, Yoneyamatyoo districts (Miyagi province)"
2003-0354,2003,earthquake,Japan,JPN,Miyagi,Miyagi,Tohoku,Honshu,Sendai-shi,Sendai,Miyagi,Sendai,38.30088356,140.7520942,2003-0354,2003-0354-JPN,Earthquake,Ground movement,2003.0,2003.0,2000.0,,569.0,17403.0,219.0,18191.0,18191.0,700844000.0,700844000.0,False,700844000.0,8.845621359651673,"Sendaisi_Aobaku, Sendaisi_Daisiroku, Sendaisi_Izumiku, Sendaisi_Miyaginoku, Sendaisi_Wakabayasiku, Isinomakisi, Hurukawasi, Kasimadaimati, Nangootyoon, Narusetyoo, Yamototyoo, Yoneyamatyoo districts (Miyagi province)"
2007-0258,2007,earthquake,Japan,JPN,Niigata,Niigata,Chubu,Honshu,Niigata-shi,Ojiya,Niigata,Ojiya,37.28700935,138.8049506,2007-0258,2007-0258-JPN,Earthquake,Ground movement,2007.0,2007.0,2000.0,9.0,1000.0,13000.0,,14000.0,14000.0,18911284000.0,18911284000.0,False,18911284000.0,10.276721016691882,"Aikawamati, Akadomarimura, Hatanomati, Izumozakimati, Kanaimati, Kariwamura, Kasiwazakisi, Manomati, Nagaokasi, Niigatasi, Odiyasi, Ogimati, Sanzyoosi, Sawatamati, Yosidamati, Zyooetusi districts (Niigata province), Nagano, Toyama provinces"
2007-0258,2007,earthquake,Japan,JPN,Niigata,Niigata,Chubu,Honshu,Niigata-shi,Tsubame,Niigata,Tsubame,37.66084747,138.895094,2007-0258,2007-0258-JPN,Earthquake,Ground movement,2007.0,2007.0,2000.0,9.0,1000.0,13000.0,,14000.0,14000.0,18911284000.0,18911284000.0,False,18911284000.0,10.276721016691882,"Aikawamati, Akadomarimura, Hatanomati, Izumozakimati, Kanaimati, Kariwamura, Kasiwazakisi, Manomati, Nagaokasi, Niigatasi, Odiyasi, Ogimati, Sanzyoosi, Sawatamati, Yosidamati, Zyooetusi districts (Niigata province), Nagano, Toyama provinces"
2008-0242,2008,earthquake,Japan,JPN,Miyagi,Miyagi,Tohoku,Honshu,Sendai-shi,Kurihara,Miyagi,Kurihara,38.80762367,140.944564,2008-0242,2008-0242-JPN,Earthquake,Ground movement,2008.0,2008.0,2000.0,23.0,448.0,,,448.0,448.0,243314000.0,243314000.0,False,243314000.0,8.386167098440978,"Mizusawasi, Moriokasi districts (Iwate province), Tukidatetyoo, Hurukawasi, Sendaisi_Aobaku, Sendaisi_Daisiroku, Sendaisi_Izumiku, Sendaisi_Miyaginoku, Sendaisi_Wakabayasiku districts (Miyagi province), Akita province"
2008-0242,2008,earthquake,Japan,JPN,Iwate,Iwate,Tohoku,Honshu,Morioka-shi,Morioka,Iwate,Morioka,39.74259243,141.269767,2008-0242,2008-0242-JPN,Earthquake,Ground movement,2008.0,2008.0,2000.0,23.0,448.0,,,448.0,448.0,243314000.0,243314000.0,False,243314000.0,8.386167098440978,"Mizusawasi, Moriokasi districts (Iwate province), Tukidatetyoo, Hurukawasi, Sendaisi_Aobaku, Sendaisi_Daisiroku, Sendaisi_Izumiku, Sendaisi_Miyaginoku, Sendaisi_Wakabayasiku districts (Miyagi province), Akita province"
2008-0242,2008,earthquake,Japan,JPN,Miyagi,Miyagi,Tohoku,Honshu,Sendai-shi,Sendai,Miyagi,Sendai,38.30088356,140.7520942,2008-0242,2008-0242-JPN,Earthquake,Ground movement,2008.0,2008.0,2000.0,23.0,448.0,,,448.0,448.0,243314000.0,243314000.0,False,243314000.0,8.386167098440978,"Mizusawasi, Moriokasi districts (Iwate province), Tukidatetyoo, Hurukawasi, Sendaisi_Aobaku, Sendaisi_Daisiroku, Sendaisi_Izumiku, Sendaisi_Miyaginoku, Sendaisi_Wakabayasiku districts (Miyagi province), Akita province"
2008-0242,2008,earthquake,Japan,JPN,Iwate,Iwate,Tohoku,Honshu,Morioka-shi,Oshu,Iwate,Oshu,39.12744512,141.0977895,2008-0242,2008-0242-JPN,Earthquake,Ground movement,2008.0,2008.0,2000.0,23.0,448.0,,,448.0,448.0,243314000.0,243314000.0,False,243314000.0,8.386167098440978,"Mizusawasi, Moriokasi districts (Iwate province), Tukidatetyoo, Hurukawasi, Sendaisi_Aobaku, Sendaisi_Daisiroku, Sendaisi_Izumiku, Sendaisi_Miyaginoku, Sendaisi_Wakabayasiku districts (Miyagi province), Akita province"
1968-0069,1968,storm,Japan,JPN,Kagoshima,Kagoshima,Kyushu,Kyushu,Kagoshima-shi, Makurazaki,Kagoshima,Makurazaki,31.28822985,130.321563,1968-0069,1968-0069-JPN,Storm,Tropical cyclone,1968.0,1968.0,1960.0,,,,,,,,,False,,,"Kagoshima, Makurazaki"
2016-0492,2016,earthquake,Japan,JPN,Tottori,Tottori,Chugoku,Honshu,Tottori-shi,Kurayoshi city ,Tottori,Kurayoshi,35.38700223,133.7523068,2016-0492,2016-0492-JPN,Earthquake,Ground movement,2016.0,2016.0,2010.0,,7.0,480.0,6.0,493.0,493.0,130700000.0,130700000.0,False,130700000.0,8.116275587580544,"Kurayoshi city (Kurayosisi district, Tottori province)"
2017-0246,2017,flood,Japan,JPN,Fukuoka,Fukuoka,Kyushu,Kyushu,Fukuoka-shi,Asakura,Fukuoka,Asakura,33.41410913,130.7444074,2017-0246,2017-0246-JPN,Flood,Riverine flood,2017.0,2017.0,2010.0,37.0,34.0,2610.0,300.0,2944.0,2944.0,895817000.0,895817000.0,False,895817000.0,8.952219299832421,"Fukuoka (Asakura), Oita prefectures (Kyushu Isl.), Shimane, Kunamoto, Hiroshima, Nagasaki, Miyazaki, Kagoshima"
2017-0327,2017,storm,Japan,JPN,Kagoshima,Kagoshima,Kyushu,Kyushu,Kagoshima-shi,Yakushima,Kagoshima,Yakushima,30.347096,130.5009394,2017-0327,2017-0327-JPN,Storm,Tropical cyclone,2017.0,2017.0,2010.0,2.0,51.0,1338.0,,1389.0,1389.0,2559000.0,2559000.0,False,2559000.0,6.408070285887185,"Wakayama prefecture; Mie region, Kagoshima (Yakushima, Minami-ko towns), Miyazaki, Oita, Fukuoka Prefectures, Hyogo Prefecture"
2017-0468,2017,storm,Japan,JPN,Kagawa,Kagawa,Shikoku,Shikoku,Takamatsu-shi,Mitoyo city,Kagawa,Mitoyo,34.16080356,133.7245464,2017-0468,2017-0468-JPN,Storm,Tropical cyclone,2017.0,2017.0,2010.0,2.0,56.0,21600.0,,21656.0,21656.0,639869000.0,639869000.0,False,639869000.0,8.80609107023307,"Oita (Bungo-ono), Kagawa (Mitoyo city), Okayama, Ehime, Kochi, Kyoto, Miyazaki, Hyogo"
2018-0330,2018,earthquake,Japan,JPN,Hokkaido,Hokkaido,Hokkaido,Hokkaido,Sapporo-shi,Atsuma village,Hokkaido,Atsuma,42.73748672,141.9608487,2018-0330,2018-0330-JPN,Earthquake,Ground movement,2018.0,2018.0,2010.0,41.0,680.0,5600.0,,6280.0,6280.0,1561532000.0,1561532000.0,False,1561532000.0,9.193550888522044,"Atsuma village, Abira, Sapporo (Hokkaido)"
2018-0330,2018,earthquake,Japan,JPN,Hokkaido,Hokkaido,Hokkaido,Hokkaido,Sapporo-shi, Sapporo ,Hokkaido,Sapporo,42.99594639,141.2604924,2018-0330,2018-0330-JPN,Earthquake,Ground movement,2018.0,2018.0,2010.0,41.0,680.0,5600.0,,6280.0,6280.0,1561532000.0,1561532000.0,False,1561532000.0,9.193550888522044,"Atsuma village, Abira, Sapporo (Hokkaido)"
2018-0330,2018,earthquake,Japan,JPN,Hokkaido,Hokkaido,Hokkaido,Hokkaido,Sapporo-shi, Abira,Hokkaido,Abira,42.81727731,141.8498565,2018-0330,2018-0330-JPN,Earthquake,Ground movement,2018.0,2018.0,2010.0,41.0,680.0,5600.0,,6280.0,6280.0,1561532000.0,1561532000.0,False,1561532000.0,9.193550888522044,"Atsuma village, Abira, Sapporo (Hokkaido)"
2013-0316,2013,extreme temperature ,Japan,JPN,Hyogo,Hyogo,Kansai,Honshu,Kobe-shi, Kobe city ,Hyogo,Kobe,34.74364611,135.1320684,2013-0316,2013-0316-JPN,Extreme temperature,Heat wave,2013.0,2013.0,2010.0,338.0,54000.0,,,54000.0,54000.0,,,False,,,"Ehime, Kagawa, Kooti, Tokusima provinces (Shikoko Isl.), Hukuoka, Kagosima, Kumamoto, Miyazaki, Nagasaki, Ooita, Saga provinces (Kyushu Isl.), Oosaka, Kyooto provinces (Honshu Isl.), Kobe city (Hyoogo province) (Honshu Isl.)"
2013-0316,2013,extreme temperature ,Japan,JPN,Ehime,Ehime,Shikoku,Shikoku,Matsuyama-shi,Shikoko Isl.,Ehime,Shikokuchuo,33.9337065,133.5390107,2013-0316,2013-0316-JPN,Extreme temperature,Heat wave,2013.0,2013.0,2010.0,338.0,54000.0,,,54000.0,54000.0,,,False,,,"Ehime, Kagawa, Kooti, Tokusima provinces (Shikoko Isl.), Hukuoka, Kagosima, Kumamoto, Miyazaki, Nagasaki, Ooita, Saga provinces (Kyushu Isl.), Oosaka, Kyooto provinces (Honshu Isl.), Kobe city (Hyoogo province) (Honshu Isl.)"
2015-0611,2015,extreme temperature ,Japan,JPN,Chiba,Chiba,Kanto,Honshu,Chiba-shi,Funabashi ,Chiba,Funabashi,35.72218544,140.0231589,2015-0611,2015-0611-JPN,Extreme temperature,Heat wave,2015.0,2015.0,2010.0,5.0,3200.0,,,3200.0,3200.0,,,False,,,"Funabashi (Chiba Prefecture), Isesaki City, Tatebayashi (Gunma Prefecture), Tokyo, Iwate, Yagamata"
2015-0611,2015,extreme temperature ,Japan,JPN,Gunma,Gunma,Kanto,Honshu,Maebashi-shi, Tatebayashi ,Gunma,Tatebayashi,36.24460015,139.5386693,2015-0611,2015-0611-JPN,Extreme temperature,Heat wave,2015.0,2015.0,2010.0,5.0,3200.0,,,3200.0,3200.0,,,False,,,"Funabashi (Chiba Prefecture), Isesaki City, Tatebayashi (Gunma Prefecture), Tokyo, Iwate, Yagamata"
