disno_core,prefecture_norm,disno,event_year,year,disaster_type_gdis,disaster_subtype,country,iso3,region,island,capital,location_str,location_str_emdat,start_year,end_year,decade,human_impact_best,damage_final_usd,damage_final_log10,damage_adj_usd,damage_imputed_usd,damage_imputed_flag,latitude,longitude,population_at_event,pop_is_observed,pop_is_interpolated,human_per_100k,econ_per_capita,econ_per_capita_log10
1960-0016,Miyagi,1960-0016,1960,1960,earthquake,Tsunami,Japan,JPN,Tohoku,Honshu,Sendai-shi,Onagawa,"Onagawa, Honshu Island",1960.0,1960.0,1960.0,138.0,1484918000.0,9.17170247174698,1484918000.0,1484918000.0,False,38.44659069,140.9261804,1739969.0,False,True,7.931175785315715,853.4163539695247,2.931160960963731
1961-0011,Aichi,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Chubu,Honshu,Nagoya-shi,Aichi,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,35.034637,137.2139891,4206313.0,True,False,4.8023054870144,0.2655895829935352,0.0
1961-0011,Akita,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Tohoku,Honshu,Akita-shi,Akita,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,39.74813497,140.4078158,1335580.0,True,False,15.124515191901645,0.8364552595952964,0.0
1961-0011,Aomori,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Tohoku,Honshu,Aomori-shi,Honshu,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,40.78369335,140.8295531,1426606.0,True,False,14.159480613427954,0.7830844084563544,0.0
1961-0011,Chiba,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Kanto,Honshu,Chiba-shi,Chiba,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,35.51037345,140.1992438,2306010.0,True,False,8.759719168607248,0.48445276282855926,0.0
1961-0011,Fukui,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Chubu,Honshu,Fukui-shi,Fukui,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,35.84601935,136.2236906,752696.0,True,False,26.83686375375982,1.4842020093241972,0.1714930152045388
1961-0011,Fukushima,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Tohoku,Honshu,Fukushima-shi,Honshu,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,37.37886746,140.2232952,2051137.0,True,False,9.848196390587269,0.5446505599627358,0.0
1961-0011,Gifu,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Chubu,Honshu,Gifu-shi,Honshu,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,35.77957986,137.0558252,1638399.0,True,False,12.329109087590997,0.6818564437663145,0.0
1961-0011,Gunma,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Kanto,Honshu,Maebashi-shi,Gunma,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,36.50413546,138.9849477,1578476.0,True,False,12.797153710287645,0.7077414643049916,0.0
1961-0011,Hiroshima,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Chugoku,Honshu,Hiroshima-shi,Honshu,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,34.60714608,132.7891401,2184043.0,True,False,9.248902150736043,0.5115068318756938,0.0
1961-0011,Hyogo,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Kansai,Honshu,Kobe-shi,Honshu,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,35.04016741,134.8281039,3906487.0,True,False,5.170886271988106,0.28597379579409477,0.0
1961-0011,Ibaraki,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Kanto,Honshu,Mito-shi,Honshu,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,36.30496862,140.32148,2047024.0,True,False,9.867983961106464,0.5457449036309716,0.0
1961-0011,Ishikawa,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Chubu,Honshu,Kanazawa-shi,Honshu,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,36.76865008,136.7700187,973418.0,True,False,20.751619550902078,1.147660014105231,0.059813250547518466
1961-0011,Iwate,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Tohoku,Honshu,Morioka-shi,Honshu,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,39.59372366,141.3612107,1448517.0,True,False,13.945297155642633,0.7712390780434651,0.0
1961-0011,Kanagawa,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Kanto,Honshu,Yokohama-shi,Kanagawa,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,35.41334278,139.3360646,3443176.0,True,False,5.866676579994749,0.32445420031107497,0.0
1961-0011,Kyoto,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Kansai,Honshu,Kyoto-shi,Honshu,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,35.25443838,135.4419032,1993403.0,True,False,10.13342510270126,0.5604250197327314,0.0
1961-0011,Mie,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Kansai,Honshu,Tsu-shi,Honshu,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,34.50852184,136.375217,1485054.0,True,False,13.602198977276247,0.752264170602743,0.0
1961-0011,Miyagi,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Tohoku,Honshu,Sendai-shi,Honshu,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,38.44659069,140.9261804,1743195.0,True,False,11.587917588106896,0.6408651445250164,0.0
1961-0011,Nagano,1961-0011,1961,1961,storm,Tropical cyclone,Japan,JPN,Chubu,Honshu,Nagano-shi,Honshu,Honshu + other Isles,1961.0,1961.0,1960.0,202.0,1117152.915610286,6.048112623303986,,1117152.915610286,True,36.13138656,138.0456173,1981433.0,True,False,10.194641958622876,0.5638105934494307,0.0
