prefecture_norm,year,population_final
Aichi,1872,1210368.0
Aichi,1873,1217444.0
Aichi,1874,1217521.0
Aichi,1875,1234003.0
Aichi,1876,1244711.0
Aichi,1877,1250839.0
Aichi,1878,1267206.0
Aichi,1879,1295452.0
Aichi,1880,1303812.0
Aichi,1881,1317792.0
Aichi,1882,1332050.0
Aichi,1883,1354996.0
Aichi,1884,1370576.0
Aichi,1885,1373419.0
Aichi,1886,1386473.0
Aichi,1887,1404106.0
Aichi,1888,1429486.0
Aichi,1889,1444011.0
Aichi,1890,1456294.0
Aichi,1891,1473099.0
Aichi,1892,1483744.0
Aichi,1893,1497791.0
Aichi,1894,1512420.0
Aichi,1895,1529349.0
Aichi,1896,1553447.0
Aichi,1897,1577320.0
Aichi,1898,1592733.0
Aichi,1899,1639611.0
Aichi,1904,1752042.0
Aichi,1909,1886739.0
Aichi,1914,2073224.0
Aichi,1919,2140077.0
Aichi,1921,2089762.0
Aichi,1926,2319494.0
Aichi,1931,2567413.0
Aichi,1936,2862701.0
Aichi,1941,3166592.0
Aichi,1944,3280206.0
Aichi,1946,2888468.0
Aichi,1948,3122902.0
Aichi,1949,3226116.0
Aichi,1951,3390585.0
Aichi,1956,3769209.0
Aichi,1961,4206313.0
Aichi,1966,4798653.0
Aichi,1971,5386163.0
Aichi,1976,5923569.0
Aichi,1981,6221638.0
Aichi,1986,6455172.0
Aichi,1991,6690603.0
Aichi,1996,6897000.0
Aichi,1997,6932000.0
Aichi,1998,6974000.0
Aichi,1999,7008000.0
Aichi,2001,7087000.0
Aichi,2002,7123000.0
Aichi,2003,7158000.0
Aichi,2004,7192000.0
Aichi,2006,7308000.0
Aichi,2007,7360000.0
Aichi,2008,7403000.0
Aichi,2009,7418000.0
Aichi,2010,7411000.0
Aichi,2011,7416000.0
Aichi,2012,7427000.0
Aichi,2013,7443000.0
Aichi,2014,7455000.0
Aichi,2015,7483000.0
Aichi,2016,7507000.0
Aichi,2017,7525000.0
Aichi,2018,7537000.0
Aichi,2019,7552000.0
Aichi,2020,7542000.0
Aichi,2021,7517000.0
Aichi,2022,7495000.0
Aichi,2023,7477000.0
Aichi,2024,7460000.0
Akita,1872,582297.0
Akita,1873,581859.0
Akita,1874,596641.0
Akita,1875,604114.0
Akita,1876,609420.0
Akita,1877,613389.0
Akita,1878,616148.0
Akita,1879,621130.0
Akita,1880,618833.0
Akita,1881,625506.0
Akita,1882,628435.0
Akita,1883,633203.0
Akita,1884,640575.0
Akita,1885,639259.0
Akita,1886,644367.0
Akita,1887,654037.0
Akita,1888,662917.0
Akita,1889,682928.0
Akita,1890,690122.0
Akita,1891,697298.0
Akita,1892,703482.0
Akita,1893,712738.0
Akita,1894,720871.0
Akita,1895,726974.0
Akita,1896,737922.0
Akita,1897,748358.0
Akita,1898,757041.0
Akita,1899,781129.0
Akita,1904,837665.0
Akita,1909,892650.0
Akita,1914,943628.0
Akita,1919,977212.0
Akita,1921,898537.0
Akita,1926,936408.0
Akita,1931,987706.0
Akita,1936,1037744.0
Akita,1941,1052275.0
Akita,1944,1048769.0
Akita,1946,1203842.0
Akita,1948,1257398.0
Akita,1949,1283710.0
Akita,1951,1309031.0
Akita,1956,1348871.0
Akita,1961,1335580.0
Akita,1966,1279835.0
Akita,1971,1241376.0
Akita,1976,1232481.0
Akita,1981,1256745.0
Akita,1986,1254032.0
Akita,1991,1227478.0
Akita,1996,1210000.0
Akita,1997,1206000.0
Akita,1998,1201000.0
Akita,1999,1196000.0
Akita,2001,1184000.0
Akita,2002,1176000.0
Akita,2003,1167000.0
Akita,2004,1159000.0
Akita,2006,1134000.0
Akita,2007,1121000.0
Akita,2008,1108000.0
Akita,2009,1096000.0
Akita,2010,1086000.0
Akita,2011,1075000.0
Akita,2012,1063000.0
Akita,2013,1050000.0
Akita,2014,1037000.0
Akita,2015,1023000.0
Akita,2016,1010000.0
Akita,2017,996000.0
Akita,2018,981000.0
Akita,2019,966000.0
Akita,2020,960000.0
Akita,2021,945000.0
Akita,2022,930000.0
Akita,2023,914000.0
Akita,2024,897000.0
Aomori,1872,473244.0
Aomori,1873,473317.0
Aomori,1874,473098.0
Aomori,1875,484428.0
Aomori,1876,489245.0
Aomori,1877,462865.0
Aomori,1878,464985.0
Aomori,1879,468517.0
Aomori,1880,475413.0
Aomori,1881,484274.0
Aomori,1882,487687.0
Aomori,1883,488505.0
Aomori,1884,493137.0
Aomori,1885,495182.0
Aomori,1886,499549.0
Aomori,1887,515779.0
Aomori,1888,523226.0
Aomori,1889,530292.0
Aomori,1890,538110.0
Aomori,1891,545026.0
Aomori,1892,551389.0
Aomori,1893,559391.0
Aomori,1894,567002.0
Aomori,1895,574235.0
Aomori,1896,584459.0
Aomori,1897,589557.0
Aomori,1898,600294.0
Aomori,1899,617531.0
Aomori,1904,665691.0
Aomori,1909,721127.0
Aomori,1914,764485.0
Aomori,1919,797841.0
Aomori,1921,756454.0
Aomori,1926,812977.0
Aomori,1931,879914.0
Aomori,1936,967129.0
Aomori,1941,1000509.0
Aomori,1944,1009104.0
Aomori,1946,1086241.0
Aomori,1948,1180245.0
Aomori,1949,1218325.0
Aomori,1951,1282867.0
Aomori,1956,1382523.0
Aomori,1961,1426606.0
Aomori,1966,1416591.0
Aomori,1971,1427520.0
Aomori,1976,1468646.0
Aomori,1981,1523907.0
Aomori,1986,1524448.0
Aomori,1991,1482873.0
Aomori,1996,1483000.0
Aomori,1997,1480000.0
Aomori,1998,1478000.0
Aomori,1999,1475000.0
Aomori,2001,1474000.0
Aomori,2002,1469000.0
Aomori,2003,1462000.0
Aomori,2004,1452000.0
Aomori,2006,1423000.0
Aomori,2007,1407000.0
Aomori,2008,1392000.0
Aomori,2009,1379000.0
Aomori,2010,1373000.0
Aomori,2011,1363000.0
Aomori,2012,1350000.0
Aomori,2013,1335000.0
Aomori,2014,1321000.0
Aomori,2015,1308000.0
Aomori,2016,1293000.0
Aomori,2017,1278000.0
Aomori,2018,1263000.0
Aomori,2019,1246000.0
Aomori,2020,1238000.0
Aomori,2021,1221000.0
Aomori,2022,1204000.0
Aomori,2023,1184000.0
Aomori,2024,1165000.0
Chiba,1874,1043189.0
Chiba,1875,1055373.0
Chiba,1876,1061664.0
Chiba,1877,1071142.0
Chiba,1878,1078635.0
Chiba,1879,1099676.0
Chiba,1880,1103292.0
Chiba,1881,1108678.0
Chiba,1882,1117696.0
Chiba,1883,1124085.0
Chiba,1884,1113651.0
Chiba,1885,1118109.0
Chiba,1886,1125375.0
Chiba,1887,1141621.0
Chiba,1888,1159287.0
Chiba,1889,1172138.0
Chiba,1890,1184062.0
Chiba,1891,1191353.0
Chiba,1892,1196785.0
Chiba,1893,1205153.0
Chiba,1894,1215742.0
Chiba,1895,1221631.0
Chiba,1896,1230385.0
Chiba,1897,1239660.0
Chiba,1898,1245874.0
Chiba,1899,1275376.0
Chiba,1904,1316547.0
Chiba,1909,1358445.0
Chiba,1914,1401587.0
Chiba,1919,1395746.0
Chiba,1921,1336155.0
Chiba,1926,1399257.0
Chiba,1931,1470121.0
Chiba,1936,1546394.0
Chiba,1941,1588425.0
Chiba,1944,1659345.0
Chiba,1946,1987715.0
Chiba,1948,2112917.0
Chiba,1949,2140511.0
Chiba,1951,2139037.0
Chiba,1956,2205060.0
Chiba,1961,2306010.0
Chiba,1966,2701770.0
Chiba,1971,3366624.0
Chiba,1976,4149147.0
Chiba,1981,4735424.0
Chiba,1986,5148163.0
Chiba,1991,5555429.0
Chiba,1996,5824000.0
Chiba,1997,5852000.0
Chiba,1998,5887000.0
Chiba,1999,5920000.0
Chiba,2001,5968000.0
Chiba,2002,5994000.0
Chiba,2003,6024000.0
Chiba,2004,6039000.0
Chiba,2006,6074000.0
Chiba,2007,6098000.0
Chiba,2008,6122000.0
Chiba,2009,6139000.0
Chiba,2010,6216000.0
Chiba,2011,6214000.0
Chiba,2012,6195000.0
Chiba,2013,6192000.0
Chiba,2014,6197000.0
Chiba,2015,6223000.0
Chiba,2016,6236000.0
Chiba,2017,6246000.0
Chiba,2018,6255000.0
