prefecture_norm,year,population,n_events,H_sum,E_sum,human_burden,econ_burden,H_pref_norm,E_pref_norm,logE_pref_norm,N_norm,risk_pref_raw,risk_year_norm,risk_cum_raw,risk_cum_norm,risk_final,half_life_years,decay_alpha,blend_prev_weight
Aichi,1961,4206313.0,1,2020.0,1117152.915610286,0.00048023054870143997,0.2655895829935352,0.00022564311315154822,9.749136290477112e-07,0.01882028565027462,0.0,0.00580403587428847,0.006219282314950901,0.0011973695480351268,0.0035017986592069204,0.00486054048707891,3,0.2062994740159002,0.5
Aichi,1965,4680185.0,1,1330.0,4037235.784136182,0.000284176800703391,0.8626231194143356,0.00013352448770606072,3.1664759828669852e-06,0.049698756029511175,0.0,0.015003093950247593,0.016076481761195284,0.004045483230620037,0.01304516381305102,0.014560822787123152,3,0.2062994740159002,0.5
Aichi,1966,4798653.0,1,520.0,442436.7982614994,0.00010836374290868709,0.09220020665413803,5.091623673002051e-05,3.3844414022187995e-07,0.007047013313226096,0.0,0.002149745359678843,0.0023035476669477743,0.0036543935049728462,0.011734713291855374,0.007019130479401574,3,0.2062994740159002,0.5
Aichi,1972,5493644.2,1,500.0,841018571.4285715,9.101426699603152e-05,153.089377617242,4.276434017311648e-05,0.0005619532175142343,0.40251582062482727,0.0,0.12078468122556936,0.12942615244521663,0.027818310253062962,0.09270236654396116,0.1110642594945889,3,0.2062994740159002,0.5
Aichi,1980,6162024.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022079407479844947,0.07347264089006066,0.03673632044503033,3,0.2062994740159002,0.5
Aichi,1982,6268344.8,1,3950.0,445341000.0,0.0006301504027027996,71.04602797216899,0.0002960850762285859,0.00026079238567673207,0.34177107624615954,0.0,0.10273858242720788,0.11008895578733668,0.038719352846042394,0.12922921961816558,0.11965908770275113,3,0.2062994740159002,0.5
Aichi,1983,6315051.6,1,1097.0,1310187000.0,0.00017371196143512114,207.47051378012495,8.16210211446819e-05,0.000761572909712721,0.4266677953283205,0.0,0.12805747331329742,0.13721927230029798,0.05714976010800624,0.19098521886442715,0.16410224558236258,3,0.2062994740159002,0.5
Aichi,1987,6502258.2,1,65090.0,94318133250.0,0.010010368397859069,14505.44262453312,0.004703513125507302,0.053245889957857145,0.7656618577834684,0.0,0.23299101652289564,0.24966022608895724,0.09342571881669295,0.31253750182967965,0.28109886395931843,3,0.2062994740159002,0.5
Aichi,1990,6643516.8,1,60400.0,9603335000.0,0.009091570296021529,1445.5197885553628,0.0042718028467319145,0.0053061453956011985,0.5814500566523687,0.0,0.17742527898842295,0.19011906951267835,0.11075478389768781,0.3706031601121708,0.2803611148124246,3,0.2062994740159002,0.5
Aichi,1994,6814441.2,1,305.0,360618000.0,4.47578885852005e-05,52.91967300268142,2.1030126770909654e-05,0.00019425502263135884,0.31861429892815973,0.0,0.09559901076718755,0.10243858753958139,0.1076281558725613,0.3601265583085014,0.2312825729240414,3,0.2062994740159002,0.5
Aichi,1998,6974000.0,1,378.0,5773120000.0,5.420131918554631e-05,827.806137080585,2.5467256156481858e-05,0.0030386714574902763,0.5369495134944186,0.0,0.1611026811276351,0.17262868068524917,0.118659922305933,0.3970914365046679,0.28486005859495855,3,0.2062994740159002,0.5
Aichi,1999,7008000.0,1,27598.0,9415846000.0,0.003938070776255707,1343.5853310502282,0.001850358233494877,0.004931969229611437,0.5756111291375806,0.0,0.1739785895047206,0.18642578859308975,0.13007213425230352,0.43533109894624206,0.3108784437696659,3,0.2062994740159002,0.5
Aichi,2000,7047500.0,2,540421.0,16103425000.0,0.07668265342319971,2284.984036892515,0.03603042890528244,0.008387610894276662,0.6180167173435667,0.2,0.21062631543676769,0.22569545520249706,0.14669041946044,0.49101509953291617,0.3583552773677066,3,0.2062994740159002,0.5
Aichi,2001,7087000.0,1,7130.0,1417269000.0,0.0010060674474389728,199.98151545082544,0.00047271501468286486,0.0007340826502798902,0.42374455713313075,0.0,0.12745426765021722,0.13657291063163707,0.14272201145990104,0.47771788922135033,0.3071453999264937,3,0.2062994740159002,0.5
Aichi,2003,7158000.0,1,2380.0,93787000.0,0.000332495110366024,13.10240290583962,0.0001562275286599907,4.8095678385429414e-05,0.21145188549291627,0.0,0.06354492491793687,0.0680912103761689,0.12638782015218242,0.42298582108254357,0.24553851572935623,3,0.2062994740159002,0.5
Aichi,2004,7192000.0,1,6058.0,1001435000.0,0.0008423248053392659,139.24290878754172,0.0003957782191813194,0.0005111262572693828,0.3949923734036419,0.0,0.11877475677451949,0.12727242909416406,0.12481724918172084,0.41772320380613676,0.2724978164501504,3,0.2062994740159002,0.5
Aichi,2007,7360000.0,2,43682.0,90774000.0,0.005935054347826087,12.333423913043479,0.002788669199384263,4.527294681562011e-05,0.20697160453487676,0.2,0.064043549800032,0.06862550909143811,0.112279666965278,0.3757126878743209,0.2221690984828795,3,0.2062994740159002,0.5
Aichi,2009,7418000.0,1,5159.0,1462167000.0,0.0006954704772175788,197.11067673227285,0.00032677663678145106,0.0007235445118409933,0.42259497999758283,0.0,0.12700723764502186,0.1360938981193471,0.11531795705004116,0.38589328982834226,0.2609935939738447,3,0.2062994740159002,0.5
Aichi,2010,7411000.0,1,16700.0,0.0,0.0022534070975576844,0.0,0.0010587951850743764,0.0,0.0,0.0,0.0007411566295520635,0.0007941822584525029,0.0916808233888695,0.3066907639256368,0.15374247309204467,3,0.2062994740159002,0.5
Aichi,2011,7416000.0,2,22798.0,2538081000.0,0.0030741639697950377,342.24393203883494,0.0014444394059448438,0.0012562927733941302,0.46651110916690025,0.2,0.14096444033423147,0.15104966092497035,0.10184800764229879,0.34075862874093,0.24590414483295017,3,0.2062994740159002,0.5
Aichi,2012,7427000.0,1,9106.0,215872000.0,0.001226067052645752,29.06584085094924,0.0005760849397015903,0.0001066935083293982,0.2719422858047533,0.0,0.0819859451992171,0.08785158294951678,0.09775047460742008,0.3270287505338578,0.2074401667416873,3,0.2062994740159002,0.5
Aichi,2013,7443000.0,2,50027.0,272003000.0,0.006721348918446863,36.54480720139728,0.003158120820587427,0.00013414694285065538,0.2896924512159633,0.2,0.0891184199392002,0.09549434653213315,0.09596968626968982,0.32106174385410946,0.20827804519312132,3,0.2062994740159002,0.5
